run,workload_type,timestamp_ns,runtime_ns,voluntary_ctxt_switches,nonvoluntary_ctxt_switches,minor_page_faults,major_page_faults,start_cpu,end_cpu,time_microseconds
158,fork,25578350751816,67146,0,0,0,0,-1,-1,67.15
159,fork,25578350820683,64710,0,0,0,0,-1,-1,64.71
160,fork,25578350887115,63620,0,0,0,0,-1,-1,63.62
161,fork,25578350952862,67910,0,0,0,0,-1,-1,67.91
162,fork,25578351043568,75983,0,0,0,0,-1,-1,75.98
163,fork,25578351120955,64548,0,0,0,0,-1,-1,64.55
164,fork,25578351187107,65066,0,0,0,0,-1,-1,65.07
165,fork,25578351253437,68137,0,0,0,0,-1,-1,68.14
166,fork,25578351323025,62751,0,0,0,0,-1,-1,62.75
167,fork,25578351387252,68725,0,0,0,0,-1,-1,68.72
168,fork,25578351457339,65506,0,0,0,0,-1,-1,65.51
169,fork,25578351524206,61674,0,0,0,0,-1,-1,61.67
170,fork,25578351587152,63548,0,0,0,0,-1,-1,63.55
171,fork,25578351651965,59310,0,0,0,0,-1,-1,59.31
172,fork,25578351713101,64367,0,0,0,0,-1,-1,64.37
173,fork,25578351779037,64836,0,0,0,0,-1,-1,64.84
174,fork,25578351845160,66069,0,0,0,0,-1,-1,66.07
175,fork,25578351912789,63789,0,0,0,0,-1,-1,63.79
176,fork,25578351978448,70572,0,0,0,0,-1,-1,70.57
177,fork,25578352050931,63556,0,0,0,0,-1,-1,63.56
178,fork,25578352115856,63138,0,0,0,0,-1,-1,63.14
179,fork,25578352180963,69232,0,0,0,0,-1,-1,69.23
180,fork,25578352251781,67189,0,0,0,0,-1,-1,67.19
181,fork,25578352320473,64867,0,0,0,0,-1,-1,64.87
182,fork,25578352386596,67443,0,0,0,0,-1,-1,67.44
183,fork,25578352455661,64010,0,0,0,0,-1,-1,64.01
184,fork,25578352521220,62332,0,0,0,0,-1,-1,62.33
185,fork,25578352584834,68600,0,0,0,0,-1,-1,68.60
186,fork,25578352655156,67742,0,0,0,0,-1,-1,67.74
187,fork,25578352724589,67438,0,0,0,0,-1,-1,67.44
188,fork,25578352793375,67967,0,0,0,0,-1,-1,67.97
189,fork,25578352862687,63799,0,0,0,0,-1,-1,63.80
190,fork,25578352927988,62648,0,0,0,0,-1,-1,62.65
191,fork,25578352992122,75589,0,0,0,0,-1,-1,75.59
192,fork,25578353068963,67409,0,0,0,0,-1,-1,67.41
193,fork,25578353137742,63598,0,0,0,0,-1,-1,63.60
194,fork,25578353202624,70173,0,0,0,0,-1,-1,70.17
195,fork,25578353274089,64612,0,0,0,0,-1,-1,64.61
196,fork,25578353340576,63509,0,0,0,0,-1,-1,63.51
197,fork,25578353405367,67261,0,0,0,0,-1,-1,67.26
198,fork,25578353474168,64047,0,0,0,0,-1,-1,64.05
