run,workload_type,timestamp_ns,runtime_ns,voluntary_ctxt_switches,nonvoluntary_ctxt_switches,minor_page_faults,major_page_faults,start_cpu,end_cpu,throughput_gflops
278,sse_add,25574901352293,326052,0,0,0,0,-1,-1,3.216
279,sse_add,25574901679359,318258,0,0,0,0,-1,-1,3.295
280,sse_add,25574901998478,317622,0,0,0,0,-1,-1,3.301
281,sse_add,25574902317080,302395,0,0,0,0,-1,-1,3.468
282,sse_add,25574902620635,297404,0,0,0,0,-1,-1,3.526
283,sse_add,25574902918937,308716,0,0,0,0,-1,-1,3.397
284,sse_add,25574903228635,299792,0,0,0,0,-1,-1,3.498
285,sse_add,25574903529672,297750,0,0,0,0,-1,-1,3.522
286,sse_add,25574903828286,301941,0,0,0,0,-1,-1,3.473
287,sse_add,25574904131209,295644,0,0,0,0,-1,-1,3.547
288,sse_add,25574904427922,295291,0,0,0,0,-1,-1,3.551
289,sse_add,25574904724090,298282,0,0,0,0,-1,-1,3.515
290,sse_add,25574905023471,299160,0,0,0,0,-1,-1,3.505
291,sse_add,25574905323616,295033,0,0,0,0,-1,-1,3.554
292,sse_add,25574905619797,293010,0,0,0,0,-1,-1,3.579
293,sse_add,25574905913695,300947,0,0,0,0,-1,-1,3.484
294,sse_add,25574906215716,285562,0,0,0,0,-1,-1,3.672
295,sse_add,25574906502278,288765,0,0,0,0,-1,-1,3.631
296,sse_add,25574906792187,295490,0,0,0,0,-1,-1,3.549
297,sse_add,25574907088785,294385,0,0,0,0,-1,-1,3.562
298,sse_add,25574907384090,292443,0,0,0,0,-1,-1,3.586
299,sse_add,25574907677860,291766,0,0,0,0,-1,-1,3.594
300,avx2_add,25574907971289,255544,0,0,0,0,-1,-1,4.103
301,avx2_add,25574908228457,246276,0,0,0,0,-1,-1,4.258
302,avx2_add,25574908475943,242162,0,0,0,0,-1,-1,4.330
303,avx2_add,25574908719071,237290,0,0,0,0,-1,-1,4.419
304,avx2_add,25574908957379,242501,0,0,0,0,-1,-1,4.324
305,avx2_add,25574909200912,239728,0,0,0,0,-1,-1,4.374
306,avx2_add,25574909441597,234910,0,0,0,0,-1,-1,4.464
307,avx2_add,25574909677379,236862,0,0,0,0,-1,-1,4.427
308,avx2_add,25574909915216,241441,0,0,0,0,-1,-1,4.343
309,avx2_add,25574910157634,236282,0,0,0,0,-1,-1,4.438
310,avx2_add,25574910394857,236812,0,0,0,0,-1,-1,4.428
311,avx2_add,25574910632520,234417,0,0,0,0,-1,-1,4.473
312,avx2_add,25574910867898,241420,0,0,0,0,-1,-1,4.343
313,avx2_add,25574911110167,233804,0,0,0,0,-1,-1,4.485
314,avx2_add,25574911344823,234166,0,0,0,0,-1,-1,4.478
315,avx2_add,25574911580266,238155,0,0,0,0,-1,-1,4.403
316,avx2_add,25574911819306,242378,0,0,0,0,-1,-1,4.326
317,avx2_add,25574912063032,234565,0,0,0,0,-1,-1,4.470
318,avx2_add,25574912298570,234489,0,0,0,0,-1,-1,4.472
319,avx2_add,25574912533943,233422,0,0,0,0,-1,-1,4.492
320,avx2_add,25574912768457,241372,0,0,0,0,-1,-1,4.344
321,avx2_add,25574913011479,236192,0,0,0,0,-1,-1,4.440
322,avx2_add,25574913248754,231622,0,0,0,0,-1,-1,4.527
323,avx2_add,25574913481231,237383,0,0,0,0,-1,-1,4.417
324,avx2_add,25574913719532,234094,0,0,0,0,-1,-1,4.479
325,avx2_add,25574913954667,241299,0,0,0,0,-1,-1,4.346
326,avx2_add,25574914197094,235349,0,0,0,0,-1,-1,4.455
327,avx2_add,25574914433495,234468,0,0,0,0,-1,-1,4.472
328,avx2_add,25574914668870,234161,0,0,0,0,-1,-1,4.478
329,avx2_add,25574914903945,238872,0,0,0,0,-1,-1,4.390
330,avx2_add,25574915144130,233461,0,0,0,0,-1,-1,4.491
331,avx2_add,25574915378773,234758,0,0,0,0,-1,-1,4.467
332,avx2_add,25574915614852,233380,0,0,0,0,-1,-1,4.493
333,avx2_add,25574915849478,239933,0,0,0,0,-1,-1,4.370
334,avx2_add,25574916090409,234467,0,0,0,0,-1,-1,4.472
335,avx2_add,25574916325900,233618,0,0,0,0,-1,-1,4.488
336,avx2_add,25574916560801,233430,0,0,0,0,-1,-1,4.492
337,avx2_add,25574916795151,241607,0,0,0,0,-1,-1,4.340
338,avx2_add,25574917037899,235728,0,0,0,0,-1,-1,4.448
339,avx2_add,25574917274744,233764,0,0,0,0,-1,-1,4.486
340,avx2_add,25574917509480,233606,0,0,0,0,-1,-1,4.489
341,avx2_add,25574917744343,232368,0,0,0,0,-1,-1,4.513
342,avx2_add,25574917977735,241354,0,0,0,0,-1,-1,4.345
343,avx2_add,25574918220180,233136,0,0,0,0,-1,-1,4.498
344,avx2_add,25574918454242,234584,0,0,0,0,-1,-1,4.470
345,avx2_add,25574918689948,232580,0,0,0,0,-1,-1,4.508
346,avx2_add,25574918923593,239527,0,0,0,0,-1,-1,4.378
347,avx2_add,25574919164488,233453,0,0,0,0,-1,-1,4.492
348,avx2_add,25574919399047,232622,0,0,0,0,-1,-1,4.508
349,avx2_add,25574919632541,234458,0,0,0,0,-1,-1,4.472
350,avx2_add,25574919886762,248767,0,0,0,0,-1,-1,4.215
351,avx2_add,25574920136680,242896,0,0,0,0,-1,-1,4.317
352,avx2_add,25574920380467,240145,0,0,0,0,-1,-1,4.366
353,avx2_add,25574920621703,237623,0,0,0,0,-1,-1,4.413
354,avx2_add,25574920860259,246373,0,0,0,0,-1,-1,4.256
355,avx2_add,25574921107624,239256,0,0,0,0,-1,-1,4.383
356,avx2_add,25574921348132,235005,0,0,0,0,-1,-1,4.462
357,avx2_add,25574921584047,243398,0,0,0,0,-1,-1,4.308
358,avx2_add,25574921828846,258750,0,0,0,0,-1,-1,4.052
359,avx2_add,25574922088757,255946,0,0,0,0,-1,-1,4.097
360,avx2_add,25574922345826,252212,0,0,0,0,-1,-1,4.158
361,avx2_add,25574922598958,247569,0,0,0,0,-1,-1,4.235
362,avx2_add,25574922847296,252221,0,0,0,0,-1,-1,4.157
363,avx2_add,25574923100637,241525,0,0,0,0,-1,-1,4.341
364,avx2_add,25574923343030,237455,0,0,0,0,-1,-1,4.416
365,avx2_add,25574923581557,236294,0,0,0,0,-1,-1,4.438
366,avx2_add,25574923818813,247347,0,0,0,0,-1,-1,4.239
